d_loss, g_loss
-81.276886, 21.38456
-94.75513, 17.926561
-70.136795, -38.895782
-79.93805, -27.86012
-50.63597, -32.403954
-72.531235, -5.6796026
-72.91778, 0.44283056
-66.594925, 5.2688093
-65.472916, -31.934364
-64.479965, -24.495281
-83.51994, -15.685057
-63.508366, -4.649861
-66.39917, 1.3510766
-79.09082, 19.874166
-100.665924, 8.4060755
-58.777557, 3.4014802
-79.67999, 12.39074
-42.39464, 7.3786783
-77.19424, 2.45899
-79.520706, 1.1158166
-86.181274, 11.589777
-54.28381, -39.999935
-97.61397, -0.2814908
-94.82559, 10.703475
-88.13928, 1.4331046
-64.03453, -15.404781
-106.353424, -14.804079
-23.771324, 6.4958935
-70.54632, -11.418575
-57.828625, -13.337104
-81.968155, 2.7339826
-87.952774, -7.522916
-81.078964, -18.432436
-92.754486, 4.722843
-83.10758, -16.252855
-65.74104, -41.32356
-56.855865, -17.947124
-71.43849, -55.683296
-54.84166, -9.138498
-53.554466, -30.162899
-71.24997, -14.7230835
-73.49634, -16.164785
-84.52294, 6.2666907
-68.093506, 4.7682505
-56.302567, 18.97947
-80.84677, -4.050027
-53.075687, -16.818607
-69.14719, 11.390104
-91.731804, 4.016666
-65.14137, 10.5966835
-40.64196, 13.735122
-70.44537, 17.135735
-61.8658, 24.521639
-73.60269, 18.000942
-79.1504, 24.33409
-71.46446, -0.11681461
-76.45386, 5.0867357
-47.45144, -11.939768
-55.834576, 6.5022306
-98.402954, 3.146101
-50.879158, -9.14324
-104.04714, -15.019629
-78.69446, 7.078244
-64.584785, 20.459612
-99.02015, 21.413004
-112.49011, 3.8169694
-81.58814, 21.632603
-72.37174, 17.87022
-82.329414, 8.459829
-68.86076, 5.576048
-42.093567, 27.285772
-95.76367, 12.1643715
-31.125568, 12.025693
-52.516537, -9.399187
-38.137615, 7.036519
-60.251244, -15.904851
-61.187164, -10.766421
-58.839592, -14.565525
-43.546524, -0.39436197
-45.61479, 11.653444
-62.138474, 7.005007
-55.0176, -4.769175
-42.811245, 34.40204
-58.70022, 0.6454034
-56.983482, 28.47483
-50.810432, 20.506014
-27.676926, 31.35349
-41.38275, 22.107155
-74.46958, 27.22788
-81.73242, 42.658775
-75.247925, 44.688972
-50.537727, 32.964355
-56.472393, 9.203398
-41.241608, 26.536936
-72.92739, 37.94558
-52.461487, 70.78731
-79.875786, 57.281643
-79.17037, 29.32275
-65.51643, 28.764717
-68.25769, -17.674149
-62.588882, 23.596924
-74.582054, 11.931551
-52.74299, 15.669133
-59.988144, 50.040302
-70.33923, 36.458107
-50.68145, 43.233604
-57.891495, 32.9943
-52.399338, 56.966385
-69.19711, 48.23968
-40.66123, 49.534294
-60.24498, 34.86124
-47.527122, 68.66606
-36.87139, 50.68773
-45.72946, 41.817333
-57.509468, 49.322243
-65.84539, 39.62034
-60.834274, 55.076904
-47.603535, 67.36404
-91.21884, 54.281334
-57.49957, 55.56446
-59.98456, 82.35628
-66.795715, 74.95584
-67.57684, 54.22461
-59.92107, 73.8017
-62.665314, 78.97045
-66.46038, 40.755585
-53.373573, 62.35775
-59.566746, 46.128983
-55.746483, 77.09329
-67.819855, 60.491207
-63.626694, 72.20023
-47.51642, 91.27549
-57.529846, 20.5354
-65.76069, 47.993805
-57.667862, 96.31889
-56.34798, 68.25285
-46.595406, 61.865242
-70.50513, 74.84294
-59.006847, 109.81198
-54.613213, 69.31857
-50.995125, 61.780994
-83.1279, 112.45064
-36.730656, 89.42445
-69.26003, 93.170616
-53.336037, 91.47519
-70.43736, 73.88333
-63.470768, 92.17728
-69.97983, 94.089836
-53.270256, 82.59677
-60.129425, 76.81947
-44.864647, 90.5173
-55.492775, 73.73036
-78.16617, 100.16194
-50.91972, 60.74373
-46.86062, 80.63462
-39.679245, 97.235115
-67.593994, 74.07761
-48.217262, 85.14061
-47.528877, 90.923836
-63.21771, 95.134964
-46.769554, 109.03012
-57.65619, 90.286644
-46.55373, 87.89023
-52.591576, 108.811806
-47.124317, 97.25937
-66.57216, 97.23708
-29.087427, 87.03192
-37.968178, 80.24625
-43.397987, 114.292305
-52.593655, 110.37945
-50.251915, 102.80242
-38.42356, 100.831436
-71.51491, 121.86561
-34.120106, 120.80427
-38.583748, 103.16881
-47.047104, 96.400925
-35.752617, 98.01631
-48.211983, 89.22168
-54.7725, 85.74243
-59.826874, 116.51458
-38.81805, 98.97101
-48.06566, 103.583374
-41.640923, 84.03564
-35.24614, 81.70583
-62.795113, 86.958244
-41.257404, 105.62706
-45.78417, 84.87413
-53.98137, 99.140854
-46.849403, 82.78253
-45.081738, 83.58643
-60.181488, 78.60289
-36.080994, 103.34979
-57.886612, 101.363525
-52.706627, 61.334206
-45.115196, 60.226944
-53.603825, 107.74786
-30.618757, 92.055916
-31.791693, 79.96311
-55.587357, 58.235294
-41.132504, 54.891773
-35.24148, 47.34446
-36.967155, 57.84269
-49.192425, 76.51595
-46.529396, 65.59757
-28.392702, 61.045788
-39.111855, 54.04547
-36.250828, 62.595146
-35.35193, 51.986404
-37.12924, 59.032524
-40.258934, 65.75223
-26.966017, 75.681046
-34.709984, 35.655407
-39.746597, 41.007004
-48.489838, 50.288208
-30.67537, 36.571083
-38.509514, 45.664562
-29.790522, 41.2821
-31.176224, 50.169373
-32.61936, 66.95922
-35.368874, 56.63286
-37.722195, 45.855186
-41.662422, 61.230003
-23.7224, 83.57223
-51.11917, 50.63086
-17.764471, 27.118776
-42.865635, 48.02543
-16.97647, 39.086205
-29.349535, 43.185402
-27.782148, 36.169914
-30.63033, 46.508484
-30.46437, 51.58985
-36.857937, 35.050743
-26.249277, 29.595482
-34.78123, 27.180912
-26.533762, 52.121143
-26.232418, 31.565918
-32.378777, 11.412392
-17.178726, 16.654388
-23.181793, 5.0760756
-24.199667, 12.994585
-31.48951, 25.538784
-27.68017, 29.57536
-34.5521, 5.4897556
-30.38016, 5.0614443
-26.036291, 28.410383
-26.28816, 21.693075
-25.326866, 4.906722
-20.153385, 22.216375
-21.537712, 26.076775
-22.503883, 15.25655
-30.743763, -10.765609
-6.218088, -12.0567665
-38.995842, -12.101902
