d_loss, g_loss
-22.0682, 44.641754
-23.814426, 50.881374
-23.965471, 33.0701
-28.437256, 71.38336
-32.02731, 90.49176
-19.991625, 37.434948
-25.9931, 60.922626
-19.184704, 52.477974
-19.99786, 34.212334
-19.426685, 15.810455
-23.632103, 46.61226
-19.773552, 17.126339
-22.64223, 49.179764
-22.391773, 23.2145
-19.79255, 37.942677
-22.093672, 16.977043
-25.865562, 54.242104
-20.654278, 35.722908
-24.921677, 62.009274
-22.341297, 40.234207
-22.046938, 29.61589
-21.90707, 21.569916
-23.846413, 43.707916
-16.831284, 13.047128
-20.752104, 25.43389
-20.185516, 36.677265
-26.249302, 38.099243
-23.331633, 70.00833
-23.538326, 54.907192
-18.139444, 24.727646
-13.687058, -12.057032
-22.852049, 4.9031496
-19.804794, -27.895002
-17.580463, 1.7124373
-19.845444, 7.3301177
-20.403278, 19.586462
-24.44894, 24.799025
-18.04113, 13.579401
-19.036346, -9.20356
-19.20379, 28.069897
-18.183434, 16.958239
-21.087076, 34.385925
-18.219786, -12.556616
-17.3598, -33.0478
-18.690094, -43.227684
-18.535717, -10.911688
-21.159542, 6.508386
-20.27641, 26.904099
-26.750223, 40.70733
-13.832962, 34.56856
-16.695335, 8.521734
-16.175884, -2.7649298
-18.560207, -15.494881
-14.544963, -14.504877
-16.161236, 9.921646
-16.864527, -14.533093
-10.452562, -10.360857
-19.337362, 37.55773
-21.68626, 10.840978
-33.048927, 22.562737
-20.594158, 2.827799
-15.237437, -18.17052
-19.779955, -4.7681375
-20.750984, 13.471018
-31.44298, 2.8388772
-17.788462, -10.088078
-34.551056, 9.459045
-15.518623, -6.8806114
-22.79581, 14.840967
-19.838463, -7.7333546
-22.497044, 29.668177
-19.78323, -6.0848784
-24.902596, -22.373661
-18.218609, -29.301167
-16.548157, -22.966145
-19.630465, -45.926224
-13.430754, -38.4737
-17.623255, -5.3218136
-18.10389, -0.9743719
-23.719286, 3.4961739
-15.364477, 15.031763
-20.152786, -10.741792
-28.440376, 39.415577
-14.749051, -25.818531
-18.544077, -7.1235466
-23.475122, 23.57487
-19.879215, 2.0595279
-15.308683, 6.3087873
-19.084204, -16.374779
-20.993858, -36.137062
-23.320307, 7.0631876
-21.455055, 47.746616
-27.820147, -4.135294
-30.136799, 23.097137
-14.520767, -56.72603
-18.161007, -43.455112
-24.532494, -10.449287
-19.762373, 5.60919
-16.654009, 19.337715
-20.987507, 15.918472
-21.62683, 34.847088
-20.915539, 10.780792
-20.80806, -48.089172
-16.500355, -18.823296
-24.884842, -0.92056507
-21.672102, -23.06336
-18.77433, 2.0355735
-23.964485, 3.3338678
-19.368587, 29.426857
-19.288025, 24.384308
-17.768066, -12.573946
-24.764946, 15.468178
-20.087345, -13.525927
-20.692118, 3.3300834
-2.2187219, -22.839457
-23.28179, -10.514557
-18.892334, -32.88938
-20.595009, 26.074661
-24.806084, -43.77228
-22.794933, -19.522684
-48.490368, 79.917984
-19.890621, -6.3570776
-24.707474, -23.957687
-19.309956, -9.217058
-14.978922, -21.36337
-17.450592, -7.4573317
-31.983791, -18.95677
-21.681322, 28.706154
-18.326887, -27.65474
-19.521624, -43.11664
-20.498386, -67.28998
-21.779694, 18.410679
-24.15668, 1.4662099
-17.08091, -21.268448
-38.420452, 32.582115
-23.76476, -4.325079
-26.884598, 23.626575
-22.637672, -1.6913078
-17.471273, -17.674187
-21.231203, 44.00569
-22.40854, 28.043852
-23.386904, -10.138878
-26.367619, -17.185665
-18.581987, -9.7376585
-29.804401, 34.99307
-23.26306, -16.961819
-20.819986, -42.795303
-20.498953, 41.765205
-23.343084, 59.521652
-17.701311, 21.788193
-22.197163, 42.69483
-23.377813, -52.44754
-21.18021, -11.287454
-29.911348, 20.66604
-22.38427, 2.5307646
-21.749384, 37.21221
-15.760458, -34.48516
-20.229477, 28.782564
-16.08256, -3.7796638
-15.009218, 50.20452
-18.87248, -19.009687
-21.560556, 66.702255
-18.16144, -32.15464
-18.888456, -33.626022
-9.570944, 31.050426
-16.928587, 31.026524
-19.55584, -14.4094925
-8.779621, -66.50565
-16.75166, -14.099676
-16.853172, -7.913359
-10.908012, 7.795192
