d_loss, g_loss
-264.49487, -32.71099
-219.09369, -39.163498
-265.77805, -58.25482
-287.2575, 55.800575
-77.78151, -14.80244
-177.76779, -41.058975
-331.12744, -57.52554
-145.669, -55.60577
-153.83965, -72.30553
-296.19025, -0.67987156
-180.50343, -13.032536
-147.05142, 1.2939777
-316.33252, -47.885647
-154.60088, -4.0940313
-198.48897, -28.742374
-161.40762, -23.977057
-270.22412, -13.33807
-181.53568, -42.951813
-180.09113, 0.24297714
-132.19199, -30.780876
-143.0275, -15.225742
-190.08153, 21.596334
-191.0882, -3.0104299
-156.84564, -12.348854
-202.5285, -48.58055
-180.59872, -36.52811
-251.02106, -65.39475
-402.23486, -56.36265
-165.06479, 23.711863
-129.5334, -68.912155
-208.46785, -53.61121
-162.66458, -5.4396195
-204.14745, -45.5299
-169.5752, -54.776505
-195.96051, -20.646309
-149.10962, -45.204308
-168.09904, -64.20575
-146.32265, -61.522736
-149.62274, -30.705261
-194.7467, -60.31363
-184.08867, -65.88131
-145.47206, 43.616688
-215.8131, -25.699139
-199.43259, 19.043781
-159.59879, -26.834044
-162.17113, -24.966038
-112.45043, -11.890911
-173.03154, 30.228584
-150.9654, -27.86904
-124.31843, -10.970294
-176.3518, 2.433813
-162.70978, 15.065949
-105.84319, -8.491377
-69.05736, -55.94843
-148.56989, 6.379222
-184.892, -25.837227
-118.90593, 4.558874
-69.29149, 10.141282
-163.10428, -41.861893
-149.87886, -12.894657
-138.94846, -25.968935
-151.00201, -37.719936
-162.87613, -18.557228
-85.16847, 0.4336419
-142.75436, 12.73457
-160.17546, -58.688416
-127.032684, -24.47675
-157.1562, -26.916275
-204.47534, -44.185986
-163.18152, 6.370287
-159.66402, 19.503937
-83.70349, -17.668571
-116.99675, -45.52353
-131.30319, -42.607697
-118.88463, -42.311775
-110.877464, 3.3452663
-98.09717, -32.928482
-171.3292, -17.582075
-138.90173, -25.67812
-258.26187, -47.860237
-142.15921, -8.629934
-48.540985, 0.6067257
-236.20038, -63.3302
-186.33727, -33.1931
-186.73677, -45.58045
-142.00638, -36.41938
-170.21326, -16.354897
-79.22911, -49.248257
-57.980347, -75.54648
-161.68484, -31.887064
-119.116936, -44.45325
-50.739395, -18.29161
-172.70866, -22.679737
-189.76608, -42.39807
-59.380447, -57.46997
-141.28424, -69.14394
-196.38431, 14.694555
-138.56216, -40.7765
-146.92456, -10.159657
-256.4509, -25.872887
-131.35378, -46.54232
-124.77658, -20.985912
-89.24185, -68.63085
-135.49792, -29.5298
-140.9132, -15.255197
-189.915, -29.408016
-238.77203, -29.677298
-108.79386, -41.548504
-106.93776, -17.346207
-135.59924, -19.730247
-131.27328, -48.093414
-120.18973, -59.71117
-161.44725, -21.628166
-99.21653, -39.721252
-159.09421, -41.269585
-170.05968, -29.655844
-185.19716, -46.1587
-213.4937, -33.26956
-93.376495, -21.261618
-155.57156, -17.572346
-122.53, -47.077938
-101.72293, -50.395958
-60.555656, -36.965744
-118.160675, -22.357399
-216.21118, -28.732658
-72.67653, 15.335793
-258.1297, -52.959156
-112.57787, -34.724472
-263.33966, 4.987442
-109.693436, -1.7020974
-116.56606, -28.808443
-185.41618, -47.863293
-144.56966, -38.06282
-131.02406, -22.399038
-142.01561, -31.843168
-155.24683, -17.156397
-284.38522, -57.34088
-164.94038, -39.069576
-128.59265, -55.681664
-139.50233, -21.259998
-134.74866, 2.107605
-79.73179, -11.435431
-183.41364, -41.155193
-49.54872, -14.364367
-136.46161, -37.68487
-148.04544, -47.42662
-133.04276, -33.972633
-144.59665, -39.69143
-82.47695, -46.709427
-108.93524, -54.656666
-334.95776, -45.29581
-131.32727, -10.861294
-240.60136, -66.84492
-94.3388, -9.672033
-201.5867, -51.091156
-129.06323, -34.6343
-167.20825, -22.404459
-85.46861, -44.461792
-21.216732, -59.01425
-137.40155, -20.507933
-119.63579, -70.858055
-142.82123, -49.46951
-128.83774, -58.31563
-100.916626, -70.82906
-204.7708, -81.609924
-173.29837, -65.53458
-135.28345, -79.09082
-102.047104, -23.80035
-6.2793274, -33.27447
-184.11832, -70.59224
-97.87823, -50.949806
-157.94067, -17.23906
-239.68404, -14.787596
-150.3717, -39.554153
-117.113754, -46.34024
-174.43771, -59.890553
-145.31166, -54.69211
-107.88034, -50.777428
-153.82932, -48.414665
-154.01588, -27.398144
-205.4239, 45.277637
-104.2553, -80.79358
-176.48395, -19.41194
-112.837944, -34.45293
-129.29395, -42.435303
-144.73538, -38.404198
